case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C061,"PC in VLAN 10 can reach its gateway but not a file server also in VLAN 10 on the same switch","SW1 access switch, VLAN10 for Accounting, PC1 on Fa0/2, Server1 on Fa0/8","show mac address-table: no entry learned for Server1's MAC on Fa0/8","MAC address not learned - port possibly down or cable fault","Layer 1","mac-not-learned","Medium"
C062,"Newly added PC on VLAN 20 cannot reach anything, not even its own gateway","SW1 access switch, VLAN20 configured but not yet created on switch","show vlan brief: VLAN 20 missing from output entirely","VLAN not created on switch (no vlan 20 in database)","Layer 2","vlan-not-created","High"
C063,"Two switches lose all inter-VLAN connectivity after a trunk port reconfiguration","SW1-SW2 trunk link Gi0/1","show interfaces gi0/1 switchport: Administrative Mode: static access","Trunk port accidentally reconfigured as access port","Layer 2","trunk-to-access-misconfig","High"
C064,"Remote branch cannot ping HQ loopback despite interfaces showing up/up","R1-R2 over GRE tunnel, tunnel source/destination configured","show interface tunnel0: tunnel protection state Down, keepalive failures","GRE tunnel keepalive failures / tunnel line protocol down","Layer 3","gre-tunnel-down","Medium"
C065,"PC obtains an IP but gateway ping has intermittent high latency and drops","VLAN30 client, switch port has duplex mismatch with upstream router","show interfaces fa0/5: half-duplex, late collisions incrementing","Duplex mismatch between switch port and router interface","Layer 1","duplex-mismatch","Medium"
C066,"Site-to-site VPN tunnel fails to establish between two routers","R1-R2 IPSec tunnel over ISP link","show crypto isakmp sa: no active SA, phase 1 negotiation failing","ISAKMP/IKE phase 1 mismatch (pre-shared key or policy mismatch)","Layer 3","vpn-ike-mismatch","High"
C067,"Users behind R1 report slow web browsing while file transfers are fine","R1 has QoS policy applied to Gi0/0","show policy-map interface gi0/0: class WEB-TRAFFIC matches 0 packets","QoS class-map ACL not matching intended web traffic","Layer 4","qos-classmap-mismatch","Low"
C068,"Static route to remote office disappears from routing table intermittently","R1 has a floating static route as backup to EIGRP","show ip route: static route missing, administrative distance misconfigured lower than EIGRP","Floating static route AD set too low, overriding dynamic route unexpectedly","Layer 3","floating-static-ad","Medium"
C069,"PC cannot join the domain; authentication requests time out","VLAN10 client, DHCP-assigned DNS points to old decommissioned server","show run | include dns-server: dns-server 192.168.1.99 (server decommissioned)","DHCP-supplied DNS server address is stale/decommissioned","Layer 7","dns-server-decommissioned","Medium"
C070,"Voice VLAN phones fail to receive correct QoS trust settings","SW1 access port configured for data + voice VLAN","show interfaces fa0/10 switchport: Voice VLAN: none","Voice VLAN not configured on access port","Layer 2","voice-vlan-missing","Medium"
C071,"After a switch reload, all previously configured VLANs are gone","SW1 standalone switch, config not saved before reload","show vlan brief: only default VLANs 1,1002-1005 present","Running-config not saved to startup-config before reload","Layer 2","config-not-saved","High"
C072,"Router randomly reboots and loses all interface configuration","R1 branch router, no RAM/flash faults reported","show version: uptime resets correlate with power supply faults in log","Hardware power instability causing unexpected reloads","Layer 1","hardware-power-fault","High"
C073,"PC can ping across VLANs but web management page on switch is unreachable","SW1 management VLAN 99 configured with IP but no default gateway","show running-config | include ip default-gateway: (no output)","Missing management default gateway on switch SVI","Layer 3","mgmt-gateway-missing","Low"
C074,"EtherChannel between two switches shows only one link active instead of two","SW1-SW2 Port-channel1 (Gi0/1, Gi0/2)","show etherchannel summary: Gi0/2 individual, not bundled - mismatched channel-group mode","EtherChannel mode mismatch (active/passive vs on) preventing bundle","Layer 2","etherchannel-mode-mismatch","Medium"
C075,"Wireless clients on 5GHz band cannot connect while 2.4GHz works fine","AP broadcasting dual-band SSID CORP-WIFI","show wlan summary: 5GHz radio admin state: disabled","5GHz radio administratively disabled on access point","Layer 1","ap-radio-disabled","Medium"
C076,"Remote users over VPN can reach internal servers but not the internet","R1 split-tunnel VPN policy applied","show run | section crypto map: no split-tunnel ACL matching internet-bound traffic","Split-tunnel ACL misconfigured, routing all traffic through tunnel","Layer 3","split-tunnel-misconfig","Low"
C077,"Switch stack member is not forwarding traffic despite green status LED","SW1 stack of 3 switches, member 2 recently added","show switch: member 2 in Version-Mismatch state","Switch stack software version mismatch on new member","Layer 2","stack-version-mismatch","Medium"
C078,"OSPF routes from a newly added router are not appearing in the routing table","R3 added to existing OSPF area 0 topology","show ip ospf database: R3 not listed in LSDB","OSPF process not enabled on the correct interface (missing network statement)","Layer 3","ospf-network-statement-missing","High"
C079,"PC assigned static IP cannot reach anything outside its own subnet","PC1 manually configured, VLAN10","ipconfig: default gateway blank / not configured","Missing default gateway in static IP configuration","Layer 3","missing-default-gateway","High"
C080,"HSRP failover does not occur when active router's uplink fails","R1(active)-R2(standby) HSRP group 1 on VLAN10 SVI","show standby brief: R1 still Active despite uplink Gi0/1 down; no track object configured","HSRP interface tracking not configured for uplink failure detection","Layer 3","hsrp-tracking-missing","High"
C081,"Guest wireless users get an IP but cannot browse any websites","Guest VLAN 99 DHCP pool active, ACL applied for isolation","show access-lists GUEST-ACL: deny ip any any placed before permit for DNS/HTTP","ACL rule order blocks legitimate traffic before permit statements are reached","Layer 4","acl-rule-order","Medium"
C082,"Two access switches show spanning-tree root changing repeatedly","SW1, SW2, SW3 in a triangle topology, root bridge not explicitly set","show spanning-tree: root bridge priority default (32768) on all switches, flapping between SW1/SW2","No primary root bridge configured, causing root election instability","Layer 2","stp-root-not-set","Medium"
C083,"Remote office loses connectivity to HQ only during business hours","R1-R2 link, ACL time-range applied incorrectly","show access-lists: time-range BUSINESS-HOURS active 8:00-17:00 incorrectly applied to permit statement as deny","Time-based ACL logic inverted, blocking traffic during intended permit window","Layer 4","acl-time-range-inverted","Medium"
C084,"New printer on VLAN 10 is unreachable by IP but responds to ping from its own subnet only","Printer statically configured, subnet mask entered as /16 instead of /24","show run: ip address 192.168.10.50 255.255.0.0","Incorrect subnet mask on printer configuration (mismatched with VLAN /24)","Layer 3","wrong-mask-device","Low"
C085,"Router-on-a-stick sub-interface for VLAN 50 has correct config but interface remains down","R1 Gi0/0.50, physical interface Gi0/0 shut down","show interfaces gi0/0: administratively down","Physical parent interface administratively shut down, sub-interfaces inherit down state","Layer 1","parent-interface-shutdown","High"
C086,"NTP time drift causes certificate validation failures on management HTTPS access","R1 configured as NTP client to external server","show ntp status: clock unsynchronized, no valid NTP server reachable","NTP server unreachable, causing clock drift and cert validation failures","Layer 7","ntp-unsynchronized","Low"
C087,"Port-channel between switch and server shows load imbalance with one link idle","SW1 to Server1 EtherChannel LACP, 2 links","show etherchannel load-balance: src-dst-mac hashing algorithm on single-flow traffic","Suboptimal EtherChannel load-balancing hash for traffic pattern","Layer 2","etherchannel-load-balance","Low"
C088,"Branch router fails to register with central SNMP monitoring server","R1 SNMP agent configured, community string set","show run | include snmp-server community: community string does not match monitoring server's configured string","SNMP community string mismatch between agent and monitoring server","Layer 7","snmp-community-mismatch","Low"
C089,"Newly deployed VLAN 60 devices intermittently lose connectivity for a few seconds every few minutes","SW1 access ports flapping, port security aging misconfigured","show port-security interface fa0/15: aging time 1 minute, violation mode restrict, MAC re-learning delay","Port security aging timer too aggressive, causing intermittent MAC re-learning drops","Layer 2","port-security-aging","Low"
C090,"Redundant WAN link fails to take over when primary ISP circuit goes down","R1 dual-WAN with IP SLA tracking configured for failover route","show ip sla statistics: SLA operation 1 state: Not Started","IP SLA tracking object not started, so failover route never activates","Layer 3","ip-sla-not-started","High"
